,id,title,genres,averageRating,numVotes,releaseYear,idjw
379,tt1392190,Mad Max: Fury Road,"Action, Adventure, Sci-Fi",8.1,1165054,2015,tm139376
380,tt0264464,Catch Me If You Can,"Biography, Crime, Drama",8.1,1164628,2002,tm111828
381,tt2267998,Gone Girl,"Drama, Mystery, Thriller",8.1,1120821,2014,tm157735
382,tt0198781,"Monsters, Inc.","Adventure, Animation, Comedy",8.1,1027610,2001,tm37560
383,tt1201607,Harry Potter and the Deathly Hallows: Part 2,"Adventure, Family, Fantasy",8.1,997243,2011,tm177297
384,tt0088247,The Terminator,"Action, Adventure, Sci-Fi",8.1,964671,1984,tm163236
385,tt2278388,The Grand Budapest Hotel,"Comedy, Drama",8.1,926362,2014,tm162843
386,tt0118715,The Big Lebowski,"Comedy, Crime",8.1,890335,1998,tm60593
387,tt3315342,Logan,"Action, Drama, Sci-Fi",8.1,889633,2017,tm12118
388,tt0382932,Ratatouille,"Adventure, Animation, Comedy",8.1,884906,2007,tm70557
389,tt2096673,Inside Out,"Adventure, Animation, Comedy",8.1,867105,2015,tm135902
390,tt0083658,Blade Runner,"Action, Drama, Sci-Fi",8.1,854007,1982,tm40461
391,tt0892769,How to Train Your Dragon,"Action, Adventure, Animation",8.1,843717,2010,tm87484
392,tt1205489,Gran Torino,Drama,8.1,839131,2008,tm48591
393,tt2024544,12 Years a Slave,"Biography, Drama, History",8.1,764595,2013,tm188852
394,tt0116282,Fargo,"Crime, Drama, Thriller",8.1,756229,1996,tm106648
395,tt0117951,Trainspotting,Drama,8.1,749310,1996,tm113248
396,tt0405159,Million Dollar Baby,"Drama, Sport",8.1,746166,2004,tm84441
397,tt0073195,Jaws,"Adventure, Drama, Horror",8.1,694162,1975,tm123933
398,tt0075148,Rocky,"Drama, Sport",8.1,659807,1976,tm82169
399,tt2119532,Hacksaw Ridge,"Biography, Drama, History",8.1,637112,2016,tm196552
400,tt0120735,"Lock, Stock and Two Smoking Barrels","Comedy, Crime",8.1,635043,1998,tm66918
401,tt0097165,Dead Poets Society,"Comedy, Drama",8.1,590962,1989,tm134674
